"pais";"codigo";"cantHabitantes";"confirmados";"porCien"
"Afghanistan";4;38928341;178905;0,459575197412086
"Albania";8;2877800;275266;9,56515393703524
"Algeria";12;43851043;265786;0,606111010860107
"Andorra";20;77265;41717;53,9921050928622
"Angola";24;32866268;99287;0,302093928035882
"Antigua and Barbuda";28;97928;7663;7,82513683522588
"Argentina";32;45195777;9083673;20,0984994682136
"Armenia";51;2963234;422877;14,2707933291802
"Australia";36;25499881;6171633;24,2025952983859
"Austria";40;9006400;4166759;46,2644230769231
"Azerbaijan";31;10139175;792599;7,81719419972532
"Bahamas";44;393248;33655;8,55821262918057
"Bahrain";48;1701583;570761;33,5429420721763
"Bangladesh";50;164689383;1952747;1,18571517145097
"Barbados";52;287371;72282;25,1528511923611
"Belarus";112;9449321;981259;10,3844392628846
"Belgium";56;11589616;4088336;35,2758538332935
"Belize";84;397621;57578;14,4806235083157
"Benin";204;12123198;26952;0,222317576599838
"Bhutan";64;771612;59422;7,70102072025837
"Bolivia";68;11673029;905212;7,75473101283309
"Bosnia and Herzegovina";70;3280815;377229;11,4980271670301
"Botswana";72;2351625;306200;13,0207835007707
"Brazil";76;212559409;30524183;14,3603066754857
"Brunei Darussalam";96;437483;142312;32,5297211548792
"Bulgaria";100;6948445;1158793;16,6770119069806
"Burkina Faso";854;20903278;20865;0,0998168803955054
"Burma";104;54409794;612965;1,12657107284766
"Burundi";108;11890781;40736;0,342584730136734
"Cabo Verde";132;555988;56046;10,0804333906487
"Cambodia";116;16718971;136259;0,814996329618611
"Cameroon";120;26545864;119780;0,451219067497671
"Canada";124;37742157;3794488;10,0537126163722
"Central African Republic";140;4829764;14649;0,303306745422758
"Chad";148;16425859;7412;0,0451239719030828
"Chile";152;19116209;3569492;18,6725935042874
"China";156;1439323774;2272841;0,157910335468411
"Colombia";170;50882884;6093645;11,9758247193693
"Comoros";174;869595;8107;0,932273069647365
"Congo (Brazzaville)";178;5518092;24079;0,436364598488028
"Costa de Marfil";384;26378275;81968;0,310740562072387
"Costa Rica";188;5094114;857290;16,8290305242482
"Croatia";191;4105268;1125723;27,4214253490881
"Cuba";192;11326616;1103606;9,74347501495592
"Cyprus";196;1207361;480220;39,7743508362453
"Czech Republic";203;10708982;3911324;36,5237704200082
"Democratic Republic of the Congo";180;89561404;87023;0,0971657389381703
"Denmark";208;5792203;3167562;54,6866537654153
"Djibouti";262;988002;15631;1,58208181764814
"Dominica";212;71991;12161;16,8923893264436
"Dominican Republic";214;10847904;579572;5,34270952250315
"East Timor";626;1318442;22883;1,73560915080072
"Ecuador";218;17643060;870526;4,93409873343966
"Egypt";818;102334403;515645;0,503882355184111
"El Salvador";222;6486201;162089;2,49898206978168
"Equatorial Guinea";226;1402985;16001;1,14049686917537
"Eritrea";232;3546427;9735;0,274501632206161
"Estonia";233;1326539;572434;43,1524440668537
"Eswatini";748;1160164;70964;6,11672142903934
"Ethiopia";231;114963583;470686;0,409421825344466
"Fiji";242;896444;64699;7,21729410872291
"Finland";246;5540718;1052767;19,0005519140299
"France";250;65273512;29040934;44,491146730392
"Gabon";266;2225728;47602;2,13871596169882
"Gambia";270;2416664;11995;0,496345375277655
"Georgia";268;3989175;1655221;41,4928149304054
"Germany";276;83783945;25215210;30,09551531621
"Ghana";288;31072945;161222;0,518850080029428
"Greece";300;10423056;3348756;32,1283508406747
"Grenada";308;112519;15138;13,4537278148579
"Guatemala";320;17915567;848098;4,73386078152034
"Guinea";324;13132792;36549;0,278303349356329
"Guinea-Bissau";624;1967998;8213;0,417327659885833
"Guyana";328;786559;63533;8,07733431312845
"Haiti";332;11402533;30703;0,269264732669487
"Honduras";340;9904608;426179;4,30283560944562
"Hungary";348;9660350;1903200;19,7011495442712
"Iceland";352;341250;185795;54,4454212454212
"India";356;1380004385;43094938;3,12281167135567
"Indonesia";360;273523621;6047741;2,21104889511535
"Iran";364;83992953;7224056;8,6007882113634
"Iraq";368;40222503;2325397;5,78133339936602
"Ireland";372;4937796;1521474;30,8128160823169
"Israel";376;8655541;4086659;47,2143682295538
"Italy";380;60461828;16682626;27,59199738387
"Jamaica";388;2961161;130596;4,41029717735712
"Japan";392;126476458;7994944;6,32129024359616
"Jordan";400;10203140;1695970;16,6220398818403
"Kazakhstan";398;18776707;1394591;7,42723950477578
"Kenya";404;53771300;323818;0,602213448438107
"Kiribati";296;119446;3089;2,5861058553656
"Kosovo";NA;1831000;228117;12,4586018569088
"Kuwait";414;4270563;631409;14,7851465954255
"Kyrgyzstan";417;6524191;200993;3,08073445427947
"Laos";418;7275556;208368;2,86394606817678
"Latvia";428;1886202;823732;43,6714625474896
"Lebanon";422;6825442;1097268;16,0761456913706
"Lesotho";426;2142252;33151;1,54748367605679
"Liberia";430;5057677;7434;0,146984475283811
"Libya";434;6871287;501916;7,30454134720322
"Liechtenstein";438;38137;17230;45,1792222775782
"Lithuania";440;2722291;1059185;38,9078537158592
"Luxembourg";442;625976;240675;38,4479596661853
"Madagascar";450;27691019;64181;0,231775508153022
"Malawi";454;19129955;85797;0,448495566246758
"Malaysia";458;32365998;4454113;13,7617044900021
"Maldives";462;540542;179414;33,191500382949
"Mali";466;20250834;30888;0,152527051478472
"Malta";470;441539;92475;20,9437897898034
"Marshall Islands";584;59194;17;0,0287191269385411
"Mauritania";478;4649660;58710;1,26267296963649
"Mauritius";480;1271767;222848;17,5227065964127
"Mexico";484;128932753;5740080;4,45199521955449
"Micronesia";954;548927;7;0,00127521510146158
"Moldova";498;4033963;517753;12,8348475184329
"Monaco";492;39244;11869;30,2441137498726
"Mongolia";496;3278292;920781;28,0872173680685
"Montenegro";499;628062;235549;37,5040999137028
"Morocco";504;36910558;1165084;3,15650605986504
"Mozambique";508;31255435;225407;0,721176972900873
"Namibia";516;2540916;158989;6,25715293224963
"Nepal";524;29136808;978899;3,3596645178154
"Netherlands";528;17134873;8235998;48,0657078695593
"New Zealand";554;4822233;982626;20,3769913233143
"Nicaragua";558;6624554;18491;0,27912822508504
"Niger";562;24206636;8957;0,0370022501267834
"Nigeria";566;206139587;255766;0,124074178920325
"North Macedonia";807;2083380;310063;14,8826906277299
"Norway";578;5421242;1427485;26,3313277658514
"Oman";512;5106622;389126;7,6200274858801
"Pakistan";586;220892331;1527956;0,691719804432685
"Palau";585;18092;4690;25,923059915985
"Panama";591;4314768;782265;18,1299434871122
"Papua New Guinea";598;8947027;43826;0,489838691668193
"Paraguay";600;7132530;649455;9,10553478218809
"Peru";604;32971846;3568692;10,8234522264844
"Philippines";608;109581085;3686543;3,36421472738657
"Poland";616;37846605;5998909;15,8505868624147
"Portugal";620;10196707;3906155;38,3080047313314
"Qatar";634;2881060;364895;12,6653037423726
"Romania";642;19237682;2897528;15,0617314497661
"Russia";643;145934460;17945617;12,2970386843519
"Rwanda";646;12952209;129843;1,00247764686317
"Saint Kitts and Nevis";659;53192;5570;10,4714994736051
"Saint Lucia";662;183629;23612;12,8585354165192
"Saint Vincent and the Grenadines";670;110947;9447;8,51487647254996
"Samoa";882;198410;10210;5,14590998437579
"San Marino";674;33938;16561;48,7978077671047
"Sao Tome and Principe";678;219161;5964;2,7212870903126
"Saudi Arabia";682;34813867;754623;2,16759316050699
"Senegal";686;16743930;86012;0,513690632963707
"Serbia";688;8737370;2008740;22,9902133021722
"Seychelles";690;98340;42841;43,5641651413464
"Sierra Leone";694;7976985;7681;0,0962895128924023
"Singapore";702;5850343;1208917;20,6640362795822
"Slovakia";703;5459643;2534433;46,421222046936
"Slovenia";705;2078932;1013935;48,7719175037952
"Solomon Islands";90;686878;16441;2,39358372229129
"Somalia";706;15893219;26485;0,166643396784503
"South Africa";710;59308690;3818125;6,43771595697022
"South Korea";410;51269183;17464782;34,0648728496415
"South Sudan";728;11193729;17491;0,156257132900037
"Spain";724;46754783;11953481;25,5663276204276
"Sri Lanka";144;21413250;663503;3,09856280573944
"Sudan";729;43849269;62135;0,141701336001747
"Suriname";740;586634;79393;13,5336513055841
"Sweden";752;10099270;2503090;24,7848606879507
"Switzerland";756;8654618;3636226;42,0148642031341
"Syria";760;17500657;55837;0,319056593132475
"Taiwan";158;23816775;232402;0,975791222783101
"Tajikistan";762;9537642;17786;0,1864821514584
"Tanzania";834;59734213;33872;0,0567045220801687
"Thailand";764;69799978;4300614;6,16134005085217
"Togo";768;8278737;36996;0,446879759557527
"Tonga";776;105697;10494;9,92838018108366
"Trinidad and Tobago";780;1399491;149950;10,7146098117101
"Tunisia";788;11818618;1040712;8,80569961733259
"Turkey";792;84339067;15038495;17,8309952136416
"Uganda";800;45741000;164104;0,358767845040554
"Ukraine";804;43733759;5040518;11,5254625151248
"United Arab Emirates";784;9890400;899637;9,0960628488231
"United Kingdom";826;67886004;22280496;32,8204558924988
"United States of America";840;331002647;81692541;24,6803286138071
"Uruguay";858;3473727;899723;25,9007976159324
"Uzbekistan";860;33469199;238651;0,713046643273417
"Vanuatu";548;307150;7699;2,50659286993326
"Vatican City";336;809;29;3,58467243510507
"Venezuela";862;28435943;522587;1,83776919232114
"Vietnam";704;97338583;10666751;10,9583997128867
"West Bank and Gaza";NA;2881957;657060;22,7990910343215
"Yemen";887;29825968;11819;0,0396265428837046
"Zambia";894;18383956;319755;1,73931552055499
"Zimbabwe";716;14862927;248050;1,66891756919751
